Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2015-01-01,50.2945556640625,50.69808692315841,50.221189510558,50.624715793990724,778837
2015-01-02,50.89985656738281,51.11996500734176,50.31290736171071,50.31290736171071,3612848
2015-01-05,50.954891204833984,51.39510314188018,49.94606534089821,50.80814891682107,7291352
2015-01-06,49.81766128540039,50.73477557753359,49.21236684772517,50.64306414832026,8288963
2015-01-07,50.53300094604492,50.80813519828477,48.9739068500191,49.5241753544988,3256180
2015-01-08,50.75312042236328,50.95488857011615,49.982743352786,50.62472341482308,2436600
2015-01-09,50.789798736572266,51.17498472850077,50.23953019058114,50.7347728771058,2079643
2015-01-12,50.0744514465332,51.064936894945575,49.7076057212936,50.477982739429486,3660975
2015-01-13,49.836002349853516,50.55135349901933,49.615893921212994,50.09279634587805,2850708
2015-01-14,49.90937042236328,50.221190262499924,49.45081329735741,49.81765899736211,3939014
2015-01-15,52.44060516357422,52.715739440709484,50.07444838994559,50.07444838994559,6425406
2015-01-16,54.05473327636719,54.64168748309042,51.651895556684465,52.3855870711725,8222495
2015-01-19,54.238155364990234,54.623346389884425,52.97254050633094,53.981366324058065,5082702
2015-01-20,54.073062896728516,55.026862584592855,53.85295451096558,54.66001693354215,6145107
2015-01-21,53.8896484375,54.31152000657079,53.57782859056476,54.03638572556853,2865190
2015-01-22,54.42158508300781,55.540467752373296,53.79795021176937,53.96302783548047,7016755
2015-01-23,54.86178970336914,55.0268722656505,53.999701276597435,54.58665541667584,4549463
2015-01-27,55.008514404296875,55.39370530290429,53.99968891731825,54.384879815925665,6048058
2015-01-28,54.82509994506836,55.650502742042754,54.66002237107133,55.19194563261254,5448999
2015-01-29,54.58665466308594,55.00852623505887,54.14643782018864,54.97184564453693,6923717
2015-01-30,54.293182373046875,55.21029668801403,53.55949092107314,54.47660523604031,3094145
2015-02-02,54.238155364990234,54.549975249238685,53.559494704504964,54.01805189438093,2427202
2015-02-03,53.99970626831055,54.80676890748086,53.74291722905739,54.62334603272978,1320013
2015-02-04,53.65119552612305,54.75173256405401,53.52279854323184,54.109752625260946,1740828
2015-02-05,52.69740676879883,53.88965547551692,52.348901310415634,53.651206729306104,2453418
2015-02-06,52.624027252197266,53.1926410687659,51.94536171663506,52.23884126005658,2422833
2015-02-09,51.890342712402344,52.62403420438975,51.35841439044593,52.45895660409091,2511094
2015-02-10,53.22931671142578,53.632847936341,51.35840283275543,51.43177395570829,3982617
2015-02-11,53.467777252197266,54.604994974638366,53.19264296922021,53.55948867985628,5670681
2015-02-12,55.118587493896484,55.76056754043282,53.57783339194376,54.586659179358,7776840
2015-02-13,55.57712173461914,56.017333456609286,54.788404712349426,55.66883313199147,8270115
2015-02-16,56.035701751708984,56.64099622800526,55.760567446513974,55.760567446513974,3789682
2015-02-18,56.76939010620117,56.86110153621605,55.48543008599285,55.79724994317615,4034642
2015-02-19,56.60429763793945,56.87943187984426,55.448734817071774,56.78772046587599,2708022
2015-02-20,56.219112396240234,56.787721179726155,55.87060702851486,56.45756108042263,4586215
2015-02-23,57.191261291503906,57.77821543465093,55.94398684710615,56.127409705860636,5857600
2015-02-24,57.503082275390625,57.85158272846762,57.062865415472366,57.19126241425382,3786009
2015-02-25,56.69602966308594,57.869938178905564,55.980683359475236,57.81491230565312,3842514
2015-02-26,56.035701751708984,57.393028005272775,55.32035056793644,56.53094449619277,7368101
2015-02-27,57.6314811706543,57.77821847023454,55.79725248674181,56.109067382475935,4870174
2015-03-02,57.484737396240234,58.32848555423374,57.0078399411257,57.86992839521454,3288237
2015-03-03,57.062862396240234,57.37468224087845,56.549279403952,57.301311109553,3773373
2015-03-04,56.659339904785156,57.72319659553498,56.16410210642159,57.28297969069615,4927543
2015-03-05,56.916114807128906,57.28296044602851,55.61381477930026,56.49424331752684,2511965
2015-03-09,55.364803314208984,56.87559055082002,55.162133869043615,56.488678881626235,2904210
2015-03-10,54.71996307373047,55.401660396191524,54.05668797705585,55.364810946727786,4007085
2015-03-11,54.49887466430664,55.27269315818808,54.333054630656626,55.05160144595179,3350372
2015-03-12,55.14372253417969,56.15705496642313,54.55414630129617,54.55414630129617,4034334
2015-03-13,54.019832611083984,55.42007655210847,53.798745934297784,55.36480488291192,3743353
2015-03-16,54.07510757446289,54.42516480027224,53.632924239041394,53.632924239041394,1546607
2015-03-17,54.4067497253418,54.90420479357682,53.817173533281434,54.204080254191545,4288235
2015-03-18,54.03824996948242,54.62782599504481,53.761886676052185,54.35146270161457,3493449
2015-03-19,53.8355827331543,54.99631261082301,53.430253884706396,54.03825215526786,2641643
2015-03-20,54.60941696166992,55.217420407992954,53.28287171188771,53.79875402972435,3763675
2015-03-23,54.9779052734375,55.9728155289744,54.738391322405704,55.088453633992394,4249360
2015-03-24,54.517295837402344,55.58590492624002,54.35148080484867,54.90420757580977,5170910
2015-03-25,53.98297882080078,54.73836983083012,53.87243050364977,54.44358431420635,6008163
2015-03-26,53.467098236083984,55.08843361867685,53.080191609445464,54.130373164750964,11848617
2015-03-27,53.338138580322266,53.78031691702155,52.766984689986714,53.4671041381782,3479176
2015-03-30,53.43027114868164,53.65135786549282,52.914388815078915,53.44869337578549,4359504
2015-03-31,53.52237319946289,53.96455147334163,53.24600990408013,53.61449429792381,4797950
2015-04-01,53.96455383300781,54.11194659741233,53.46709887998913,53.46709887998913,2808077
2015-04-06,54.517295837402344,55.07002260836345,53.74347735847858,53.94614683989897,5315447
2015-04-07,54.517295837402344,54.60941696589587,53.79875403388756,54.24093245192179,2457023
2015-04-08,54.27777862548828,55.19898985479874,54.16723527712734,54.36989974841933,4009038
2015-04-09,55.64115905761719,55.862250695859785,54.314614226051106,54.36988588613938,2422269
2015-04-10,56.26760482788086,56.39657542465324,55.383242875271534,55.82542635052207,2200148
2015-04-13,56.87559127807617,57.37304129100153,55.549046248531305,56.304437377550755,2208671
2015-04-15,55.84382629394531,57.483583945905394,55.641161864102955,57.096672309993025,2330815
2015-04-16,55.530616760253906,56.10177063746334,54.35146955826453,55.69643675638666,2492100
2015-04-17,55.309532165527344,55.86225884279861,54.94104271612292,55.53061883812366,3666806
2015-04-20,55.19899368286133,56.230753329976274,54.775237487569086,55.34638649019457,2278982
2015-04-21,54.848934173583984,56.0096644601833,54.572570771611076,55.27269538825555,2312891
2015-04-22,54.18565368652344,55.10686485095744,54.01983367776914,54.90420039393813,4849646
2015-04-23,54.03824996948242,54.885762070179375,53.761886676052185,54.53570489723473,3515131
2015-04-24,53.74346923828125,54.51728760028741,53.08019921249902,53.79874590533838,2613457
2015-04-27,53.411834716796875,54.44359420826106,53.24601970777093,53.83559084816146,2052351
2015-04-28,53.227596282958984,53.98299248204263,52.87753901811696,53.17232460934085,3429520
2015-04-29,52.711734771728516,53.356582818636,52.509070241857344,53.190762750274324,2061972
2015-04-30,52.39850616455078,53.356566832490344,51.73523608561071,52.3616567161895,4099911
2015-05-04,53.1170539855957,53.2828690097275,51.956323827219016,52.693297815626686,3652050
2015-05-05,52.74857711791992,54.03827303781781,52.15900084067401,52.71172766348739,7999174
2015-05-06,51.808929443359375,52.601175082235216,51.606264976325036,52.601175082235216,6031578
2015-05-07,51.6983757019043,51.97473900932086,50.86928577965462,51.58782738020387,5448071
2015-05-08,51.587852478027344,52.39852057333372,51.47730910043652,51.956337067186226,2987105
2015-05-11,52.693302154541016,52.82226774018819,51.51414967346302,51.86420697404871,3927933
2015-05-12,51.32989501953125,52.71171165695993,51.07195391472189,52.65643999104079,4551824
2015-05-13,51.90104293823242,52.140556818050015,50.86928853383818,51.40358795837129,4097879
